Kanji,Hiragana,English,Tags
,それら,they / those (close to the listener),Demonstrative Pronouns
,あれら,those (far from both the speaker and the listener),Demonstrative Pronouns
何,なに,what,Question Words
誰,だれ,who,Question Words
,どこ,where,Question Words
,どの,which,Question Words
,なぜ / どうして,why,Question Words
,いつ,when,Question Words
,いくら,how much,Question Words
,いくつ,how many,Question Words
,どうやって,how,Question Words
,いち,one,Numbers
二,に,two,Numbers
三,さん,three,Numbers
四,し / よん,four,Numbers
五,ご,five,Numbers
六,ろく,six,Numbers
七,しち / なな,seven,Numbers
八,はち,eight,Numbers
九,く / きゅう,nine,Numbers
十,じゅう,ten,Numbers
時間,じかん,time,Time and Calendar
分,ふん / ぷん,minute,Time and Calendar
時,じ,o'clock,Time and Calendar
日,にち / ひ / び,day,Time and Calendar
月,つき / げつ / がつ,month,Time and Calendar
年,ねん,year,Time and Calendar
午前,ごぜん,morning time (until noon),Time and Calendar
午後,ごご,afternoon,Time and Calendar
朝,あさ,morning,Time and Calendar
昼,ひる,noon / noontime / daytime,Time and Calendar
夕方,ゆうがた,early evening,Time and Calendar
夜,よる,evening / night,Time and Calendar
月曜日,げつようび,Monday,Time and Calendar
火曜日,かようび,Tuesday,Time and Calendar
水曜日,すいようび,Wednesday,Time and Calendar
木曜日,もくようび,Thursday,Time and Calendar
金曜日,きんようび,Friday,Time and Calendar
土曜日,どようび,Saturday,Time and Calendar
日曜日,にちようび,Sunday,Time and Calendar
親,おや,parent,Family and People
両親,りょうしん,parents,Family and People
父 / お父さん,ちち / おとうさん,father / dad,Family and People
母 / お母さん,はは / おかあさん,mother / mom,Family and People
兄,あに,older brother,Family and People
姉,あね,older sister,Family and People
弟,おとうと,younger brother,Family and People
妹,いもうと,younger sister,Family and People
祖父 / お爺ちゃん,そふ / おじいちゃん,grandfather / grandpa,Family and People
祖母 / お婆ちゃん,そぼ / おばあちゃん,grandmother / grandma,Family and People
伯父 (叔父),おじ,uncle,Family and People
伯母 (叔母),おば,aunt,Family and People
従兄弟,いとこ,cousin,Family and People
孫,まご,grandchild,Family and People
,さん,Mr. / Mrs. / Ms.(put after a name to refer to a person politely),Family and People
様,さま,Mr. / Mrs. / Ms.(put after a name to refer to a person respectfully),Family and People
仕事,しごと,work,Jobs and Occupations
会社員,かいしゃいん,employee of a company,Jobs and Occupations
医者,いしゃ,doctor,Jobs and Occupations
弁護士,べんごし,lawyer,Jobs and Occupations
先生 / 教師,せんせい / きょうし,teacher,Jobs and Occupations
生徒 / 学生,せいと / がくせい,student,Jobs and Occupations
